value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,nodep,ruid,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,1,net_dev_queue,229,,,,0,,420875134,,4,,,,,,638944,,1,,3205145877,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,27830,11921,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2544344760,,1322077219,,,,,64,13029721,,,34,1500,,40460,16,,6,,
,,,,0,,,,,,,syscall_open,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modules/4.9.80-v7+/modules.alias.bin,,,,,12998992,,,34,,,,655360,,,,
,,,,,,,,,,,syscall_close,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,13069304,,,34,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modules/4.9.80-v7+/modules.symbols.bin,,,,,13076335,,,34,,,,655360,,,,
,,,,,,,,,,,syscall_close,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,13105241,,,34,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modules/4.9.80-v7+/modules.builtin.bin,,,,,13112221,,,34,,,,655360,,,,
,,,,,,,,,,,syscall_close,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,13134668,,,34,,,,,,,,
,,,,,,,,,,1,net_dev_queue,229,,,,0,,420875134,,4,,,,,,638944,,1,,3205150221,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,27833,11918,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2544343608,,1322077219,,,,,64,13388730,,,34,1500,,40460,16,,6,,
,,,,,,,,,,1,net_dev_queue,229,,,,0,,420875134,,4,,,,,,638944,,1,,3205153117,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,27835,11916,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2544342840,,1322077219,,,,,64,13654926,,,34,1500,,40460,16,,6,,
,,,,,,,,,,1,net_dev_queue,229,,,,0,,420875134,,4,,,,,,638944,,1,,3205154565,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,27836,11915,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2544342456,,1322077219,,,,,64,13819717,,,34,1500,,40460,16,,6,,
,,,,,,,,,,,sched_process_exit,,,,,0,,420875134,,,modprobe8:9,,,,,638944,,,,,,,,,,,,,,,,,15759,,,,,0,,,,3,,,,,,,,,0,,,0,,modprobe8:9,,,,,,,,,,20,,,,,,,14006383,,,34,,,,,,,,
,,,,,,,,,,1,net_dev_queue,229,,,,0,,420875134,,4,modprobe8:9,,,,,638944,,1,,3205156013,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,27837,11914,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2544342072,,1322077219,,,,,64,14032633,,,34,1500,,40460,16,,6,,
,,,,,,,,,,1,net_dev_queue,229,,,,0,,420875134,,4,modprobe8:9,,,,,638944,,1,,3205157461,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,27838,11913,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2544341688,,1322077219,,,,,64,14043154,,,34,1500,,40460,16,,6,,
,,,,,,,,,,1,net_dev_queue,229,,,,0,,420875134,,4,swapper/0,,,,,638944,,1,,3205158909,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,27839,11912,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2544341304,,1322077219,,,,,64,14158518,,,34,1500,,40460,16,,6,,
,,,,,,,,,,1,net_dev_queue,229,,,,0,,420875134,,4,swapper/0,,,,,638944,,1,,3205160357,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,27840,11911,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2544340920,,1322077219,,,,,64,14282528,,,34,1500,,40460,16,,6,,
,,,,,,,,,,1,net_dev_queue,229,,,,0,,420875134,,4,kworker/u8:9,,,,,638944,,1,,3205161805,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,27841,11910,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2544340536,,1322077219,,,,,64,14403412,,,34,1500,,40460,16,,6,,
,,,,,,,,,,1,net_dev_queue,229,,,,0,,420875134,,4,kworker/u8:9,,,,,638944,,1,,3205163253,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,27842,11909,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2544340152,,1322077219,,,,,64,14523516,,,34,1500,,40460,16,,6,,
,,,,,,,,,,1,net_dev_queue,229,,,,0,,420875134,,4,kworker/u8:9,,,,,638944,,1,,3205164701,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,27843,11908,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2544339768,,1322077219,,,,,64,14634036,,,34,1500,,40460,16,,6,,
,,,,,,,,,,,sched_process_exec,,,,15760,0,,420875134,,,kworker/u8:9,,,,,638944,,,,,,,,,,,,,,,,,15760,,,,,0,,,,8,,,,,,,,,0,,,0,,,,,,,,,,,,,,/sbin/modprobe,,,,,14679245,,,34,,,,,,,,
,,,,,,,,,,1,net_dev_queue,229,,,,0,,420875134,,4,kworker/u8:9,,,,,638944,,1,,3205166149,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,27844,11907,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2544339384,,1322077219,,,,,64,14766692,,,34,1500,,40460,16,,6,,
