value,optlen,family,argv,mode,size,path,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,4096,,syscall_read,,,,,0,,1544784116,,,modprobe8:9,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,15312016,,0,,,,,,,,,,,30567264,,,12,,,,,,,,
,,,,,,,,,,,,syscall_close,,,,,0,,1544784116,,,modprobe8:9,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,30578618,,,12,,,,,,,,
,,,,0,,,,,,,,syscall_open,,,,,0,,1544784116,,,modprobe8:9,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modprobe.d/fbdev-blacklist.conf,,,,,30586430,,,12,,,,655360,,,,
,,,,,,,,,,4096,,syscall_read,,,,,0,,1544784116,,,modprobe8:9,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,15312016,,390,,,,,,,,,,,30575389,,,12,,,,,,,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,modprobe8:9,,,,,1640856,,1,,3187222547,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15320,24431,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638280504,,1322077219,,,,,64,30642263,,,12,1500,,40460,16,,6,,
,,,,,,,,,,4096,,syscall_read,,,,,0,,1544784116,,,modprobe8:9,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,15312016,,0,,,,,,,,,,,30603409,,,12,,,,,,,,
,,,,,,,,,,,,syscall_close,,,,,0,,1544784116,,,modprobe8:9,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,30824137,,,12,,,,,,,,
,,,,0,,,,,,,,syscall_open,,,,,0,,1544784116,,,modprobe8:9,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/ipv6.conf,,,,,30833304,,,12,,,,655360,,,,
,,,,,,,,,,4096,,syscall_read,,,,,0,,1544784116,,,modprobe8:9,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,15312016,,65,,,,,,,,,,,30818877,,,12,,,,,,,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,modprobe8:9,,,,,1640856,,1,,3187223995,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15321,24430,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638280888,,1322077219,,,,,64,30902731,,,12,1500,,40460,16,,6,,
