value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,uid,saddr,ruid,frag_off,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,envp,tos,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,1,,,,,,,syscall_open,,,,,0,,1094420552,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,3,,,3,,,,,,,,0,,,,,,/etc/ld.so.cache,,,,,99946286,,,45,,,,524288,,,,
,,,,,,,,,,,syscall_close,,,,,0,,1094420552,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,99962692,,,45,,,,,,,,
,,,,,,,,,,,syscall_getpid,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,,,,30,,,,,,,,,2,,,2,,,,,,,,121,,,,,,,,,,,99967588,,,45,,,,,,,,
,,,,,,,,,,,syscall_getpid,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,,,,30,,,,,,,,,2,,,2,,,,,,,,121,,,,,,,,,,,99974098,,,45,,,,,,,,
,,,,0,,,,,,,syscall_access,,,,,0,,1094420552,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,,,,36,,,,,,,,,3,,,3,,,,,,,,-2,,,,,,/etc/ld.so.nohwcap,,,,,92245125859075,,,45,,,,,,,,
,,,,0,,,,,,,syscall_access,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,,,,36,,,,,,,,,2,,,2,,,,,,,,0,,,,,,/run/systemd/journal/flushed,,,,,92245125863919,,,45,,,,,,,,
,,,,55648,,,,,,,syscall_open,,,,,0,,1094420552,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,3,,,3,,,,,,,,0,,,,,,/lib/arm-linux-gnueabihf/libc.so.6,,,,,99991286,,,45,,,,524288,,,,
,,,,493,,,,,,,syscall_mkdir,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,,,,41,,,,,,,,,2,,,2,/var/log/journal/89caa8f7a5e342689a75e351c1e05987,,,,,,,-2,,,,,,,,,,,92245125880689,,,45,,,,,,,,
,,,,,,,,,512,,syscall_read,,,,,0,,1094420552,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,3,,,3,,,,,,2123380600,,512,,,,,,,,,,,100004254,,,45,,,,,,,,
,,,,,,,,,2880,,syscall_read,,,,,0,,1094420552,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,3,,,3,,,,,,2123377464,,2880,,,,,,,,,,,100015921,,,45,,,,,,,,
