value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,transport_header_type,count,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,info,vtids,version,p_name,egid,grouplist,tcache,head,content_size,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,lttng-consumerd,,,,,306952,1,,3233410400,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47600,57686,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2245612600,,1322077219,,,,,64,18733194,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,lttng-consumerd,,,,,306952,1,,3233411848,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47601,57685,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2245612216,,1322077219,,,,,64,18748038,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,lttng-consumerd,,,,,306952,1,,3233413296,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47602,57684,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2245611832,,1322077219,,,,,64,18762725,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,lttng-consumerd,,,,,306952,1,,3233414744,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47603,57683,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2245611448,,1322077219,,,,,64,18785850,,,75,1500,,40460,16,,6,,
,,,,,,,,,,80520,syscall_write,,,,,0,,190064326,,,,lttng-consumerd,,,,,306952,,,,,,,,,,,,,,,,,,,,,0,31,,,18,,,,,,,,,0,,,0,,,,,,1897922560,,80520,,,,,,,,,,,18116738,,,75,,,,,,,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,lttng-consumerd,,,,,306952,1,,3233416192,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47604,57682,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2245611064,,1322077219,,,,,64,18836162,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,lttng-consumerd,,,,,306952,1,,3233417640,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47605,57681,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2245610680,,1322077219,,,,,64,18956526,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,lttng-consumerd,,,,,306952,1,,3233419088,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47606,57680,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2245610296,,1322077219,,,,,64,19217671,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,lttng-consumerd,,,,,306952,1,,3233420536,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47607,57679,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2245609912,,1322077219,,,,,64,19230067,,,75,1500,,40460,16,,6,,
,,,,,,,,,,55824,syscall_write,,,,,0,,190064326,,,,lttng-consumerd,,,,,306952,,,,,,,,,,,,,,,,,,,,,0,31,,,18,,,,,,,,,0,,,0,,,,,,1896873984,,55824,,,,,,,,,,,18977724,,,75,,,,,,,,
